place	time	pace	age	gender	location	state	divPlace	divTot
1687	76.83	7.683	28	M	Pasadena MD	MD	407	1457
239	62.8	6.28	42	M	Washington DC	DC	21	931
776	79.27	7.927	29	F	Arlington VA	VA	256	2782
1002	72.02	7.202	17	M	Brick NJ	NJ	19	66
1262	83.1	8.31	26	F	Winchester VA	VA	410	2782
2150	87.87	8.787	40	F	Brooklyn NY	NY	213	974
906	71.18	7.118	35	M	Alexandria VA	VA	122	1093
434	75.48	7.548	45	F	Washington DC	DC	20	554
1163	73.27	7.327	29	M	Washington DC	DC	277	1457
4382	96.45	9.645	34	F	Fairfax VA	VA	963	2228
2309	88.53	8.853	29	F	Washington DC	DC	732	2782
4724	93.63	9.363	32	M	Washington DC	DC	1012	1490
5514	98.67	9.867	28	M	Arlington VA	VA	1166	1457
4484	92.22	9.222	74	M	Vienna VA	VA	4	21
297	63.87	6.387	25	M	Wayne PA	PA	83	1457
8256	114.08	11.408	26	F	Washington DC	DC	2438	2782
4742	93.75	9.375	35	M	Arlington VA	VA	738	1093
2162	79.48	7.948	50	M	Elizabethtown PA	PA	127	483
1257	83.07	8.307	28	F	New York NY	NY	408	2782
464	75.83	7.583	46	F	Crofton MD	MD	22	554
8612	116.87	11.687	28	F	Harrisburg PA	PA	2539	2782
1526	75.87	7.587	43	M	Manassas VA	VA	180	931
6642	111.65	11.165	47	M	Herndon VA	VA	598	648
1632	85.45	8.545	33	F	Cleveland OH	OH	363	2228
8792	118.47	11.847	38	F	Burke VA	VA	1216	1367
6873	105.95	10.595	28	F	Washington DC	DC	2101	2782
8965	120.4	12.04	35	F	Silver Spring MD	MD	1241	1367
2791	90.6	9.06	32	F	College Park MD	MD	614	2228
255	72.72	7.272	39	F	South Riding VA	VA	20	1367
4237	95.98	9.598	30	F	Washington DC	DC	935	2228
2017	87.38	8.738	23	F	Washington DC	DC	264	974
4329	91.35	9.135	35	M	Laurel MD	MD	673	1093
5684	101.03	10.103	37	F	Lorton VA	VA	766	1367
4265	90.95	9.095	37	M	Sterling VA	VA	661	1093
3830	94.6	9.46	25	F	Alexandria VA	VA	1173	2782
6683	105.02	10.502	32	F	Arlington VA	VA	1491	2228
5233	96.75	9.675	42	M	New Cumberland PA	PA	677	931
3259	85.7	8.57	31	M	Arlington VA	VA	717	1490
4095	90.03	9.003	43	M	Arlington VA	VA	520	931
4886	98.12	9.812	26	F	Washington DC	DC	1520	2782
1273	83.15	8.315	27	F	Pittsburgh PA	PA	413	2782
6062	103.42	10.342	40	M	Waldorf MD	MD	776	931
4330	91.37	9.137	37	M	Washington DC	DC	674	1093
3121	91.93	9.193	30	F	Alexandria VA	VA	672	2228
4029	95.28	9.528	34	F	Chantilly VA	VA	885	2228
1075	81.72	8.172	35	F	Richmond VA	VA	134	1367
2846	90.85	9.085	48	F	Darnestown MD	MD	140	554
4573	97.13	9.713	26	F	Arlington VA	VA	1413	2782
1084	81.78	8.178	22	F	Arlington DC	DC	152	974
5326	97.37	9.737	24	M	Evans GA	GA	279	347
865	79.97	7.997	35	F	Arlington VA	VA	104	1367
6675	104.98	10.498	39	F	Rehoboth Beach DE	DE	901	1367
1453	84.38	8.438	30	F	Lanham MD	MD	326	2228
2108	87.73	8.773	24	F	College Park MD	MD	274	974
7577	109.52	10.952	54	F	Fairfax VA	VA	294	397
1923	78.22	7.822	45	M	Arlington VA	VA	166	648
915	80.45	8.045	40	F	Washington DC	DC	82	974
1617	85.38	8.538	20	F	Emerson NJ	NJ	210	974
311	73.52	7.352	37	F	Washington DC	DC	32	1367
2106	79.17	7.917	30	M	Derwood MD	MD	464	1490
5692	101.05	10.105	32	F	Washington DC	DC	1266	2228
5897	101.88	10.188	28	M	Washintgon DC	DC	1241	1457
7007	106.55	10.655	30	F	New York NY	NY	1565	2228
3695	87.88	8.788	36	M	Fairfax VA	VA	568	1093
4257	90.9	9.09	33	M	Washington DC	DC	918	1490
5137	96.17	9.617	24	M	Houston TX	TX	268	347
6436	104.05	10.405	23	F	Harrisonburg VA	VA	741	974
3267	85.75	8.575	31	M	Ann Arbor MI	MI	722	1490
2401	88.9	8.89	23	F	Springfield VA	VA	308	974
2073	79.03	7.903	41	M	Burke VA	VA	262	931
886	80.23	8.023	57	F	Atlanta GA	GA	10	236
8495	115.68	11.568	27	F	Alexandria VA	VA	2509	2782
3550	93.67	9.367	37	F	Maple Glen PA	PA	472	1367
1426	75.3	7.53	36	M	Lawrence KS	KS	213	1093
2184	79.63	7.963	42	M	Darnestown MD	MD	273	931
7761	110.57	11.057	25	F	Washington DC	DC	2324	2782
5237	96.8	9.68	37	M	Washington DC	DC	815	1093
6748	105.32	10.532	51	F	State College PA	PA	232	397
9324	126.85	12.685	40	F	Tallahassee FL	FL	929	974
3331	86.1	8.61	29	M	Knightdale NC	NC	745	1457
3710	94.2	9.42	37	F	Arlington VA	VA	501	1367
8417	115.17	11.517	33	F	Alexandria VA	VA	1904	2228
3149	85.17	8.517	43	M	Arlington VA	VA	409	931
392	65.48	6.548	27	M	Washington DC	DC	105	1457
3312	85.98	8.598	21	M	Plymouth MN	MN	180	347
6523	109.28	10.928	39	M	Alexandria VA	VA	996	1093
5647	100.88	10.088	25	F	Arlington VA	VA	1740	2782
1442	75.43	7.543	48	M	Annapolis MD	MD	118	648
2434	89.08	8.908	25	F	Washington, Dc DC	DC	765	2782
1145	73.13	7.313	46	M	Washington DC	DC	94	648
6543	104.47	10.447	28	F	Washington DC	DC	1997	2782
6130	104.25	10.425	38	M	Kensington MD	MD	934	1093
8761	118.08	11.808	24	F	Arlington VA	VA	925	974
5346	99.83	9.983	58	F	Gaithersburg MD	MD	86	236
1618	76.47	7.647	23	M	Silver Spring MD	MD	100	347
6457	104.12	10.412	25	F	Arlington VA	VA	1965	2782
7104	107.1	10.71	34	F	Imperial MO	MO	1586	2228
7063	106.88	10.688	35	F	Alexandria VA	VA	959	1367
6653	104.9	10.49	34	F	Washington DC	DC	1485	2228
5554	100.58	10.058	23	F	Falls Church VA	VA	664	974
5095	98.88	9.888	53	F	Arlington VA	VA	164	397
5259	99.45	9.945	36	F	Baltimore MD	MD	705	1367
752	79.07	7.907	29	F	Olney MD	MD	251	2782
5177	96.4	9.64	27	M	Washington DC	DC	1105	1457
2728	90.35	9.035	41	F	Potomac Falls VA	VA	266	974
2369	80.75	8.075	31	M	Andrews Afb MD	MD	516	1490
3361	86.23	8.623	40	M	Ashburn VA	VA	429	931
1110	72.92	7.292	33	M	Washington DC	DC	269	1490
2811	83.42	8.342	32	M	Arlington VA	VA	624	1490
3553	87.22	8.722	16	M	Washington DC	DC	43	66
2644	82.48	8.248	21	M	Orlando FL	FL	150	347
4905	98.17	9.817	53	F	Bristow VA	VA	157	397
4199	95.88	9.588	57	F	New York NY	NY	64	236
3746	94.3	9.43	34	F	McLean VA	VA	810	2228
7701	110.18	11.018	31	F	Vienna VA	VA	1728	2228
1842	86.48	8.648	32	F	Arlington VA	VA	406	2228
2640	82.47	8.247	27	M	Washington DC	DC	615	1457
646	68.68	6.868	28	M	Arlington VA	VA	166	1457
4588	97.2	9.72	36	F	Madison CT	CT	611	1367
4989	95.22	9.522	31	M	Arlington VA	VA	1068	1490
1495	84.57	8.457	37	F	Severna Park MD	MD	191	1367
9376	128.05	12.805	30	F	Charlotte NC	NC	2133	2228
714	69.38	6.938	33	M	Washington DC	DC	195	1490
8453	115.45	11.545	33	F	Silver Spring MD	MD	1912	2228
350	74.25	7.425	27	F	Washington DC	DC	120	2782
3142	85.15	8.515	33	M	Washington DC	DC	695	1490
4343	91.45	9.145	32	M	Alexandria VA	VA	935	1490
7036	106.7	10.67	35	F	Silver Spring MD	MD	955	1367
2898	91.07	9.107	38	F	Arlington VA	VA	376	1367
9577	134.08	13.408	47	F	Olney MD	MD	544	554
1548	75.95	7.595	31	M	Annapolis MD	MD	366	1490
4584	92.73	9.273	52	M	Westminster MD	MD	304	483
4537	97.02	9.702	23	F	Washington DC	DC	566	974
7647	109.93	10.993	16	F	Laurel MD	MD	68	83
272	73	7.3	23	F	Washington DC	DC	41	974
1800	86.3	8.63	26	F	Arlington VA	VA	577	2782
8003	112.28	11.228	31	F	Rockville MD	MD	1805	2228
4142	95.72	9.572	25	F	Washington DC	DC	1271	2782
9529	131.95	13.195	41	F	Laurel MD	MD	949	974
6588	110.62	11.062	42	M	Washington DC	DC	858	931
6663	104.93	10.493	43	F	Springfield VA	VA	647	974
4111	90.12	9.012	44	M	Bethesda MD	MD	523	931
5829	101.58	10.158	29	F	Nyc NY	NY	1781	2782
6634	104.85	10.485	54	F	Gaithersburg MD	MD	224	397
7159	136.15	13.615	33	M	California MD	MD	1486	1490
7453	108.7	10.87	37	F	Mount Joy PA	PA	1016	1367
5358	97.55	9.755	43	M	Arlington VA	VA	693	931
4577	97.15	9.715	42	F	Dunkirk MD	MD	431	974
4876	94.6	9.46	31	M	Alexandria VA	VA	1046	1490
5221	96.62	9.662	47	M	Spring TX	TX	455	648
2067	87.57	8.757	30	F	Arlington VA	VA	455	2228
5853	101.68	10.168	27	F	Washington DC	DC	1789	2782
1831	86.43	8.643	31	F	Washington DC	DC	403	2228
9342	127.18	12.718	32	F	Hampton VA	VA	2123	2228
7814	110.92	11.092	23	F	Baltimore MD	MD	849	974
4298	91.15	9.115	58	M	Buffalo Grove IL	IL	187	375
461	66.43	6.643	27	M	Dresher PA	PA	123	1457
6073	102.63	10.263	44	F	Baltimore MD	MD	582	974
1943	87	8.7	43	F	Arlington VA	VA	184	974
5929	102.25	10.225	30	M	Vienna VA	VA	1263	1490
733	69.55	6.955	23	M	Haddon Heights NJ	NJ	51	347
873	70.88	7.088	33	M	Arlington VA	VA	224	1490
3522	93.55	9.355	28	F	Washington DC	DC	1090	2782
4897	94.73	9.473	31	M	Baltimore MD	MD	1049	1490
6708	112.78	11.278	59	M	West Friendship MD	MD	336	375
2325	80.43	8.043	42	M	Newark DE	DE	296	931
5763	100.68	10.068	29	M	Elkridge MD	MD	1215	1457
6738	105.28	10.528	29	F	Washington DC	DC	2063	2782
8515	115.87	11.587	31	F	Rockville MD	MD	1929	2228
3186	85.38	8.538	30	M	Rockville MD	MD	706	1490
3177	85.35	8.535	39	M	Gaithersburg MD	MD	482	1093
7543	109.23	10.923	31	F	Washington DC	DC	1684	2228
8769	118.18	11.818	36	F	Midlothian VA	VA	1211	1367
5403	100.02	10.002	59	F	Potomac MD	MD	88	236
3736	94.27	9.427	25	F	Brooklyn NY	NY	1145	2782
512	76.33	7.633	22	F	Summit NJ	NJ	72	974
1338	74.7	7.47	35	M	Falls Church VA	VA	200	1093
2084	87.63	8.763	30	F	Arlington VA	VA	461	2228
3063	91.73	9.173	26	F	Horsham PA	PA	968	2782
9431	129.18	12.918	38	F	Falls Church VA	VA	1314	1367
3705	94.18	9.418	51	F	Fairfax VA	VA	122	397
4208	95.92	9.592	60	F	Rockville MD	MD	18	93
8251	114.07	11.407	40	F	Elkton MD	MD	809	974
1640	85.48	8.548	53	F	Wilton CT	CT	50	397
4425	91.95	9.195	34	M	Philadelphia PA	PA	956	1490
2197	79.68	7.968	36	M	Stafford VA	VA	321	1093
6895	117.82	11.782	41	M	Ellicott City MD	MD	902	931
7961	111.98	11.198	26	F	Washington DC	DC	2370	2782
6144	102.85	10.285	34	F	Olney MD	MD	1367	2228
4352	91.5	9.15	51	M	Fpo AP	AP	280	483
3125	85.05	8.505	44	M	Vienna VA	VA	406	931
4180	95.83	9.583	29	F	Washington DC	DC	1283	2782
1244	82.95	8.295	26	F	Arlington VA	VA	401	2782
6031	102.43	10.243	25	F	Baltimore MD	MD	1840	2782
367	74.62	7.462	23	F	New York NY	NY	54	974
3674	94.03	9.403	38	F	Chevy Chase MD	MD	497	1367
4971	98.42	9.842	25	F	Washington DC	DC	1547	2782
2488	89.28	8.928	29	F	Hartsdale NY	NY	781	2782
3322	86.05	8.605	40	M	Alexandria VA	VA	428	931
7212	107.58	10.758	28	F	Washington DC	DC	2190	2782
6918	118.73	11.873	34	M	Bethesda MD	MD	1439	1490
6055	103.4	10.34	42	M	McLean VA	VA	775	931
2230	79.88	7.988	29	M	Washington DC	DC	533	1457
2450	81.27	8.127	30	M	Pittsburgh PA	PA	539	1490
2404	80.95	8.095	20	M	New Iberia LA	LA	137	347
3899	88.93	8.893	33	M	Falls Church VA	VA	855	1490
4967	95.07	9.507	50	M	Concord NC	NC	327	483
1026	72.22	7.222	39	M	Arlington VA	VA	145	1093
2296	88.47	8.847	21	F	Washington DC	DC	292	974
4231	90.77	9.077	40	M	Morrisville NC	NC	550	931
4450	96.73	9.673	32	F	Alexandria VA	VA	980	2228
4507	92.33	9.233	25	M	Washington DC	DC	980	1457
4448	92.05	9.205	42	M	Ashburn VA	VA	582	931
8538	116.02	11.602	41	F	Bethesda MD	MD	841	974
8381	115	11.5	51	F	North Bethesda MD	MD	338	397
5328	99.73	9.973	28	F	Nokesville VA	VA	1644	2782
401	75.02	7.502	38	F	Washington DC	DC	50	1367
7025	122.92	12.292	31	M	Wilmington NC	NC	1455	1490
4068	95.45	9.545	41	F	Washington DC	DC	378	974
6763	105.37	10.537	22	F	Ashburn VA	VA	764	974
2656	90.03	9.003	35	F	Falls Church VA	VA	339	1367
3180	92.22	9.222	24	F	Washington DC	DC	418	974
6140	104.28	10.428	33	M	Houston PA	PA	1304	1490
4869	94.57	9.457	29	M	Washington DC	DC	1048	1457
8312	114.35	11.435	30	F	Chicago IL	IL	1887	2228
7262	107.78	10.778	50	F	Doylestown PA	PA	275	397
6393	103.93	10.393	30	F	New York NY	NY	1429	2228
6563	109.88	10.988	56	M	Bethesda MD	MD	325	375
8885	119.5	11.95	40	F	Owings Mills MD	MD	879	974
4712	97.52	9.752	27	F	Gaithersburg MD	MD	1468	2782
8121	113.1	11.31	25	F	North Bethesda MD	MD	2406	2782
6205	105.1	10.51	42	M	Harrisburg PA	PA	803	931
6473	104.2	10.42	32	F	Centreville VA	VA	1450	2228
9648	138.23	13.823	25	F	Washington DC	DC	2770	2782
7164	137.25	13.725	27	M	Washington DC	DC	1455	1457
5086	98.82	9.882	35	F	Washington DC	DC	678	1367
9188	123.83	12.383	28	F	Philadelphia PA	PA	2672	2782
1081	72.62	7.262	44	M	Arlington VA	VA	116	931
5108	98.92	9.892	33	F	Baltimore MD	MD	1133	2228
1164	82.37	8.237	31	F	Washington DC	DC	255	2228
207	71.17	7.117	31	F	Chantilly VA	VA	50	2228
2068	79	7.9	29	M	Richmond VA	VA	494	1457
1250	73.95	7.395	26	M	Arlington VA	VA	297	1457
3915	94.9	9.49	36	F	Savannah GA	GA	532	1367
1426	84.2	8.42	54	F	New Milford CT	CT	43	397
1234	82.85	8.285	61	F	Noblesville IN	IN	4	93
3967	89.32	8.932	26	M	Arlington VA	VA	869	1457
4197	90.6	9.06	48	M	Potomac Falls VA	VA	368	648
4505	92.33	9.233	44	M	Arlington VA	VA	592	931
4434	91.97	9.197	50	M	Reston VA	VA	289	483
8969	120.42	12.042	34	F	Waldorf MD	MD	2037	2228
3020	91.62	9.162	45	F	Potomac MD	MD	148	554
7275	107.83	10.783	27	F	Evergreen CO	CO	2204	2782
1802	77.57	7.757	55	M	Hyattsville MD	MD	59	375
2108	79.17	7.917	59	M	Leesburg VA	VA	73	375
2744	83.02	8.302	51	M	Rockville MD	MD	174	483
5291	99.6	9.96	24	F	Washington DC	DC	633	974
1074	81.7	8.17	24	F	Washington DC	DC	150	974
3126	91.95	9.195	32	F	Olney MD	MD	673	2228
2518	89.42	8.942	29	F	Severn MD	MD	791	2782
458	66.37	6.637	37	M	Washington DC	DC	62	1093
542	67.47	6.747	27	M	New York NY	NY	141	1457
706	69.25	6.925	36	M	Seattle WA	WA	96	1093
40	63.2	6.32	23	F	Washington DC	DC	3	974
8288	114.23	11.423	32	F	Washington DC	DC	1881	2228
9176	123.57	12.357	39	F	Falls Church VA	VA	1274	1367
6697	105.07	10.507	27	F	Washington DC	DC	2046	2782
8330	114.55	11.455	55	F	Silver Spring MD	MD	176	236
973	80.92	8.092	38	F	Baltimore MD	MD	116	1367
4165	95.78	9.578	25	F	Arlington VA	VA	1277	2782
2092	87.67	8.767	22	F	Washington DC	DC	273	974
3365	92.97	9.297	31	F	Washington DC	DC	724	2228
555	67.67	6.767	23	M	Hershey PA	PA	40	347
5308	97.25	9.725	44	M	Easton MD	MD	687	931
3767	94.38	9.438	44	F	Alexandria VA	VA	353	974
2199	79.7	7.97	54	M	Rockville MD	MD	130	483
4373	91.63	9.163	50	M	Bethesda MD	MD	284	483
604	77.42	7.742	43	F	Dunkirk MD	MD	49	974
5287	97.15	9.715	42	M	Woodbridge VA	VA	682	931
5775	101.38	10.138	34	F	Cheverly MD	MD	1283	2228
5282	99.57	9.957	41	F	New York NY	NY	506	974
3054	91.72	9.172	23	F	Rockville MD	MD	398	974
4099	95.55	9.555	36	F	Alexandria VA	VA	550	1367
1026	81.33	8.133	33	F	Herndon VA	VA	226	2228
5058	95.67	9.567	44	M	Chevy Chase MD	MD	656	931
5599	100.75	10.075	36	F	Springfield VA	VA	756	1367
7089	107.02	10.702	31	F	Lorton VA	VA	1581	2228
8584	116.48	11.648	22	F	Washington DC	DC	902	974
3182	85.38	8.538	53	M	Rutland MA	MA	200	483
3083	91.82	9.182	42	F	Washington DC	DC	287	974
4563	92.62	9.262	52	M	Fuquay Varina NC	NC	298	483
2711	90.28	9.028	36	F	Arlington VA	VA	343	1367
4201	95.9	9.59	30	F	Arlington VA	VA	923	2228
2985	84.45	8.445	20	M	Washington DC	DC	162	347
1862	86.57	8.657	41	F	Finksburg MD	MD	178	974
45	55.58	5.558	56	M	Burlington VT	VT	1	375
2370	88.78	8.878	49	F	Herndon VA	VA	119	554
3572	87.3	8.73	36	M	Herndon VA	VA	550	1093
4260	90.92	9.092	43	M	Washington DC	DC	556	931
8641	117.12	11.712	30	F	Rockville MD	MD	1956	2228
3790	94.47	9.447	26	F	Kirkville NY	NY	1161	2782
5312	97.28	9.728	59	M	Cambridge MA	MA	247	375
3023	91.62	9.162	26	F	Washington DC	DC	957	2782
3275	85.8	8.58	63	M	Glen Rock PA	PA	52	196
7041	106.75	10.675	51	F	Bally PA	PA	254	397
262	63.13	6.313	51	M	Springfield VA	VA	14	483
4955	95.03	9.503	26	M	Arlington VA	VA	1066	1457
3412	86.52	8.652	50	M	Washington DC	DC	212	483
2536	81.83	8.183	31	M	Richmond VA	VA	562	1490
2620	82.35	8.235	42	M	Washington DC	DC	338	931
1462	75.53	7.553	25	M	Burtonsville MD	MD	344	1457
6070	102.62	10.262	26	F	Denver CO	CO	1852	2782
1112	72.93	7.293	39	M	Washington DC	DC	167	1093
6683	112.37	11.237	29	M	Auburndale MA	MA	1373	1457
7241	107.72	10.772	45	F	Alexandria VA	VA	397	554
5092	95.83	9.583	22	M	Washington DC	DC	262	347
1340	83.63	8.363	29	F	New York NY	NY	435	2782
7213	107.58	10.758	29	F	Columbia MD	MD	2191	2782
3782	88.35	8.835	32	M	Arlington VA	VA	835	1490
7336	108.08	10.808	35	F	Crofton MD	MD	998	1367
2291	88.47	8.847	27	F	Hamilton NJ	NJ	728	2782
846	70.6	7.06	52	M	Smithtown NY	NY	42	483
451	75.67	7.567	31	F	Rockville MD	MD	100	2228
1703	76.97	7.697	50	M	Gaithersburg MD	MD	92	483
2995	84.48	8.448	43	M	Burke VA	VA	388	931
9427	129.03	12.903	50	F	Brentwood MD	MD	386	397
5481	100.27	10.027	58	F	Chantilly VA	VA	90	236
5109	98.92	9.892	32	F	Montvale NJ	NJ	1134	2228
337	74.08	7.408	41	F	Bethesda MD	MD	27	974
4227	95.97	9.597	30	F	Washington DC	DC	930	2228
2948	84.28	8.428	28	M	New York NY	NY	668	1457
8530	115.97	11.597	31	F	Alexandria VA	VA	1934	2228
4829	97.9	9.79	42	F	Roswell GA	GA	455	974
9035	121.27	12.127	29	F	Fairfax VA	VA	2637	2782
3700	94.15	9.415	31	F	Washington DC	DC	801	2228
4000	95.2	9.52	29	F	Arlington VA	VA	1234	2782
4878	94.62	9.462	34	M	Baltimore MD	MD	1047	1490
9131	122.8	12.28	30	F	Bethesda MD	MD	2072	2228
1220	82.75	8.275	27	F	Washington DC	DC	393	2782
4214	90.68	9.068	33	M	Washington DC	DC	911	1490
5702	101.08	10.108	25	F	Arlington VA	VA	1753	2782
8046	112.6	11.26	34	F	Washington DC	DC	1813	2228
6071	103.53	10.353	27	M	Takoma Park MD	MD	1268	1457
6075	102.65	10.265	23	F	Washington DC	DC	721	974
6002	102.93	10.293	29	M	New York NY	NY	1259	1457
5710	100.28	10.028	29	M	Arlington VA	VA	1205	1457
347	64.77	6.477	38	M	Washington DC	DC	46	1093
9362	127.65	12.765	23	F	Washington DC	DC	963	974
6168	104.57	10.457	27	M	Washington DC	DC	1289	1457
2561	89.62	8.962	25	F	Washington DC	DC	809	2782
6527	109.32	10.932	27	M	Arlington VA	VA	1350	1457
6064	102.58	10.258	24	F	Washington DC	DC	719	974
1559	76.02	7.602	47	M	Silver Spring MD	MD	130	648
7225	107.63	10.763	35	F	Silver Spring MD	MD	981	1367
6252	105.75	10.575	35	M	Chantilly VA	VA	952	1093
6122	104.2	10.42	29	M	Alexandria VA	VA	1280	1457
2348	80.65	8.065	31	M	Washington DC	DC	511	1490
7170	107.38	10.738	37	F	Gainesville VA	VA	972	1367
2136	87.82	8.782	50	F	Centreville VA	VA	66	397
5369	97.62	9.762	41	M	Newmarket NH	NH	698	931
5653	100.9	10.09	29	F	Baltimore MD	MD	1742	2782
2106	87.72	8.772	30	F	Germantown MD	MD	469	2228
5331	97.38	9.738	33	M	Fairfax VA	VA	1141	1490
7002	106.53	10.653	25	F	Arlington VA	VA	2132	2782
894	80.28	8.028	24	F	Southampton NJ	NJ	127	974
2234	79.9	7.99	29	M	New York NY	NY	534	1457
2121	79.23	7.923	27	M	Arlington VA	VA	509	1457
7055	106.82	10.682	43	F	Mount Airy MD	MD	690	974
4441	92	9.2	29	M	Washington DC	DC	965	1457
4358	91.53	9.153	50	M	Washington DC	DC	281	483
8610	116.83	11.683	56	F	McLean VA	VA	188	236
2765	90.48	9.048	37	F	Blairstown NJ	NJ	353	1367
2975	84.42	8.442	63	M	Springfield VA	VA	43	196
3130	91.95	9.195	47	F	McLean VA	VA	154	554
1095	81.87	8.187	28	F	New York NY	NY	358	2782
5859	101.7	10.17	41	F	Great Falls VA	VA	562	974
2893	83.88	8.388	32	M	Elkridge MD	MD	640	1490
6718	113.08	11.308	34	M	Felton DE	DE	1399	1490
7900	111.5	11.15	45	F	Springfield VA	VA	438	554
3022	91.62	9.162	29	F	Washington DC	DC	956	2782
9001	120.78	12.078	35	F	Brookline MA	MA	1252	1367
4343	96.3	9.63	33	F	Freeport ME	ME	954	2228
1195	73.48	7.348	31	M	Leesburg VA	VA	290	1490
5466	100.2	10.02	27	F	Columbia MD	MD	1690	2782
1797	86.28	8.628	44	F	Brick NJ	NJ	172	974
3909	89	8.9	26	M	Washington DC	DC	856	1457
3422	93.18	9.318	32	F	Laurel MD	MD	741	2228
4672	93.3	9.33	45	M	Arlington VA	VA	406	648
9315	126.72	12.672	31	F	Baltimore MD	MD	2112	2228
3827	94.6	9.46	31	F	Chicago IL	IL	834	2228
2627	82.38	8.238	59	M	Washington DC	DC	97	375
9279	125.83	12.583	63	F	Baltimore MD	MD	74	93
5388	99.97	9.997	26	F	Arlington VA	VA	1665	2782
3206	85.47	8.547	61	M	Bethesda MD	MD	48	196
1548	84.98	8.498	37	F	Brooklyn NY	NY	198	1367
4963	95.05	9.505	20	M	Washington DC	DC	254	347
3544	87.18	8.718	32	M	Orlando FL	FL	782	1490
1210	73.62	7.362	34	M	Washington DC	DC	296	1490
111	59.1	5.91	39	M	Ellicott City MD	MD	8	1093
4166	90.45	9.045	35	M	Harrisburg PA	PA	646	1093
4618	97.27	9.727	30	F	Richmond VA	VA	1021	2228
4281	91.03	9.103	40	M	McLean VA	VA	561	931
4840	97.93	9.793	32	F	Washington DC	DC	1078	2228
6502	109.02	10.902	47	M	Baltimore MD	MD	582	648
162	60.65	6.065	49	M	Bolivia	Bolivia	11	648
2139	87.83	8.783	43	F	Upper Marlboro MD	MD	211	974
1096	72.8	7.28	48	M	Arlington VA	VA	86	648
4492	96.88	9.688	27	F	Arlington VA	VA	1388	2782
3056	84.77	8.477	29	M	Chevy Chase MD	MD	686	1457
2625	89.92	8.992	25	F	Baltimore MD	MD	832	2782
2592	89.75	8.975	27	F	Charlottesville VA	VA	823	2782
9575	133.95	13.395	40	F	Baltimore MD	MD	956	974
7719	110.35	11.035	48	F	Clarksville MD	MD	429	554
4388	96.5	9.65	31	F	Alexandria VA	VA	965	2228
653	68.72	6.872	32	M	Washington DC	DC	178	1490
2605	89.8	8.98	30	F	Baltimore MD	MD	577	2228
9476	130.45	13.045	29	F	Pikesville MD	MD	2731	2782
6518	109.2	10.92	26	M	Alexandria VA	VA	1349	1457
7674	110.05	11.005	35	F	Ft Washington MD	MD	1043	1367
4094	95.53	9.553	53	F	Lynchburg VA	VA	133	397
7049	125.17	12.517	57	M	Towson MD	MD	365	375
1558	85.02	8.502	42	F	South Boston MA	MA	152	974
613	77.52	7.752	36	F	Washington DC	DC	68	1367
5437	98.07	9.807	33	M	Arlington VA	VA	1165	1490
3207	92.35	9.235	28	F	Reston VA	VA	1010	2782
3471	86.83	8.683	29	M	Riverdale MD	MD	771	1457
6347	103.75	10.375	45	F	Langley Afb VA	VA	349	554
2870	90.93	9.093	53	F	Salisbury MD	MD	91	397
8838	118.93	11.893	41	F	Alexandria VA	VA	873	974
168	60.88	6.088	37	M	Washington DC	DC	21	1093
4918	98.22	9.822	30	F	Arlington VA	VA	1101	2228
5429	98.03	9.803	19	M	Washington DC	DC	56	66
1988	78.52	7.852	30	M	Arlington VA	VA	449	1490
1608	76.38	7.638	32	M	Bethesda MD	MD	377	1490
790	70.03	7.003	60	M	Strasburg PA	PA	8	196
8960	120.33	12.033	27	F	Elkrdige MD	MD	2618	2782
3235	85.6	8.56	47	M	Rockville MD	MD	284	648
87	66.48	6.648	50	F	Kensington MD	MD	2	397
2594	82.17	8.217	30	M	Takoma Park MD	MD	577	1490
5558	99.08	9.908	39	M	Centreville VA	VA	852	1093
4118	90.13	9.013	56	M	Pittsburgh PA	PA	173	375
266	63.18	6.318	15	M	Washington DC	DC	4	66
6481	104.22	10.422	34	F	Washington DC	DC	1453	2228
4823	94.25	9.425	31	M	Fairfax VA	VA	1030	1490
1011	72.1	7.21	55	M	 		34	375
1008	81.25	8.125	25	F	Washington DC	DC	330	2782
3145	85.15	8.515	26	M	Arlington VA	VA	706	1457
1957	87.1	8.71	34	F	Silver Spring MD	MD	433	2228
5116	98.93	9.893	32	F	Washington DC	DC	1137	2228
422	75.33	7.533	52	F	McLean VA	VA	12	397
1934	86.97	8.697	23	F	Baltimore MD	MD	252	974
7154	107.32	10.732	27	F	Bethesda MD	MD	2179	2782
5013	95.37	9.537	27	M	Washington DC	DC	1075	1457
7124	131.55	13.155	46	M	Alexandria VA	VA	641	648
4970	98.42	9.842	43	F	McLean VA	VA	473	974
759	79.13	7.913	28	F	Washington DC	DC	252	2782
3294	92.68	9.268	45	F	Arlington VA	VA	164	554
5621	99.6	9.96	53	M	Woodbridge VA	VA	369	483
3584	93.75	9.375	23	F	Rockville MD	MD	469	974
1853	77.83	7.783	32	M	Washington DC	DC	415	1490
6125	104.22	10.422	62	M	Fairfax VA	VA	142	196
7655	109.97	10.997	34	F	Washington DC	DC	1717	2228
6709	112.78	11.278	23	M	Sudbury MA	MA	337	347
2959	91.32	9.132	27	F	Washington DC	DC	930	2782
3498	93.45	9.345	29	F	Washington DC	DC	1088	2782
5015	98.57	9.857	34	F	Charlotte NC	NC	1114	2228
